Name,type,RA,Dec,Mv,Mstar,Re,Sig
M32,5,10.674167,40.865278,-16.7,7.50E+08,113,76
J011257.62+152821.1,5,18.240083,15.472528,-18.1,4.96E+09,560,59
J011258.85+152855.3,5,18.245208,15.482028,-17.7,3.94E+09,430,70
J011300.24+152921.5,5,18.251,15.489306,-17.3,2.27E+09,330,48
J012325.96+014236.2,5,20.858167,1.710056,-16.9,1.57E+09,310,61
J012326.58+014230.3,5,20.86075,1.708417,-18,1.04E+09,440,48
J025744.50+060202.2,5,44.435417,6.033944,-18.4,5.69E+09,420,-99.99
A496cE,5,68.405625,-13.255611,-18,4.32E+09,240,103
J091947.87+334604.8,5,139.949458,33.768,-17.5,2.72E+09,320,110
J094729.24+141245.3,5,146.871792,14.212583,-18.5,3.27E+09,499,105
J110404.40+451618.9,5,166.018333,45.271917,-18.2,6.84E+09,390,89
J110947.06+214648.6,5,167.448333,21.780167,-18.1,5.19E+09,490,98
VCC1192,5,187.375833,7.992778,-16.9,1.50E+08,377.1,49.1
VCC1199,5,187.395833,8.058056,-15.7,1.50E+08,166.6,45.5
NGC4486B,5,187.633208,12.490167,-17.8,4.52E+09,180,170
VCC1499,5,188.3325,12.853333,-16.5,4.52E+06,429.7,-99.99
VCC1627,5,188.905,12.381944,-16.7,1.37E+08,274.2,47.3
J124853.91-411905.8,5,192.224625,-41.318278,-17.8,3.13E+09,340,-99.99
J125923.41+275510.4,5,194.847542,27.919556,-17,1.88E+09,200,108
CcGV19a,5,194.904917,27.972167,-16.4,9.89E+08,208.8,76.1
CcGV19b,5,194.913333,27.998444,-14.6,1.64E+08,99.4,65.8
J125942.30+275529.0,5,194.92625,27.924722,-19.4,1.64E+10,470,177
CcGV12,5,194.926208,28.015306,-14.1,1.25E+08,152.3,42.2
CcGV18,5,194.9995,27.989333,-14.7,1.72E+08,205.8,66.3
CcGV1,5,195.198625,28.09275,-15,2.72E+08,264.6,85.2
CcGV9a,5,195.078542,28.009278,-17.7,2.37E+09,344.1,97.3
CcGV9b,5,195.113792,28.00925,-15.4,4.32E+08,311.5,25.1
NGC5846A,5,226.621667,1.595,-17.8,5.19E+09,520,183
NGC5846cE/J150634.27+013331.6,5,226.642792,1.558778,-16.9,2.27E+09,240,119
J151250.26+072621.9,5,228.209417,7.439417,-18.2,7.16E+09,650,100
J151641.28+070006.1,5,229.172,7.001694,-17.9,4.32E+09,350,117
J231512.62-011458.3,5,348.802583,-1.249528,-17.7,3.59E+09,260,92
J233825.48+270150.1,5,354.606167,27.030583,-13.3,2.99E+07,470,-99.99
